ISIN,Symbol,Type
INE022I01019,ASIANTILES.NS,EQ
INE021A01026,ASIANPAINT.NS,EQ
INE406A01037,AUROPHARMA.NS,EQ
INE119A01028,BALRAMCHIN.NS,EQ
INE791I01019,BRIGADE.NS,EQ
INE120A01034,CARBORUNIV.NS,EQ
INE348B01021,CENTURYPLY.NS,EQ
INE522F01014,COALINDIA.NS,EQ
INE158B01016,EIMCOELECO.NS,EQ
INE158A01026,HEROMOTOCO.NS,EQ
INE483B01026,ICIL.NS,EQ
INE154A01025,ITC.NS,EQ
INE786A01032,JKLAKSHMI.NS,EQ
INE318A01026,PIDILITIND.NS,EQ
INE343B01030,RAJESHEXPO.NS,EQ
INE775A01035,MOTHERSUMI.NS,EQ
INE343H01029,SOLARINDS.NS,EQ
INE467B01029,TCS.NS,EQ
INE155A01022,TATAMOTORS.NS,EQ
INE081A01012,TATASTEEL.NS,EQ
INE205A01025,VEDL.NS,EQ
INE540H01012,VOLTAMP.NS,EQ
INE366I01010,VRLLOG.NS,EQ
INE976A01021,WSTCSTPAPR.NS,EQ
INE031B01049,AJANTPHARM.NS,EQ
INE917I01010,BAJAJ-AUTO.NS,EQ
INE016A01026,DABUR.NS,EQ
INE267A01025,HINDZINC.NS,EQ
INE700A01033,JUBILANT.NS,EQ
INE001B01026,KRBL.NS,EQ
INE030A01027,HINDUNILVR.NS,EQ
INE203G01027,IGL.NS,EQ
INE018A01030,LT.NS,EQ
INE134E01011,PFC.NS,EQ
INE092A01019,TATACHEM.NS,EQ
INE192A01025,TATACONSUM.NS,EQ
INE280A01028,TITAN.NS,EQ
INE437A01024,APOLLOHOSP.NS,EQ
INE296A01024,BAJFINANCE.NS,EQ
INE397D01024,BHARTIARTL.NS,EQ
INE216A01030,BRITANNIA.NS,EQ
INE059A01026,CIPLA.NS,EQ
INE361B01024,DIVISLAB.NS,EQ
INE040A01034,HDFCBANK.NS,EQ
INE090A01021,ICICIBANK.NS,EQ
INE095A01012,INDUSINDBK.NS,EQ
INE009A01021,INFY.NS,EQ
INE646L01027,INDIGO.NS,EQ
INE498L01015,L&TFH.NS,EQ
INE585B01010,MARUTI.NS,EQ
INE733E01010,NTPC.NS,EQ
INE213A01029,ONGC.NS,EQ
INE301A01014,RAYMOND.NS,EQ
INE002A01018,RELIANCE.NS,EQ
INE621L01012,TEXRAIL.NS,EQ
INE849A01020,TRENT.NS,EQ
